"Lat","Long","Month","Period","Offense","Season"
"36.867552"," -76.140384","SEPTEMBER","EVENING","ASSAULT","FALL"
"36.850634"," -75.978948","AUGUST","NIGHT","ASSAULT","SUMMER"
"36.79426"," -76.08216","JANUARY","NIGHT","ASSAULT","WINTER"
"36.795278"," -76.123579","JULY","AFTERNOON","ASSAULT","SUMMER"
"36.770481"," -76.18095","JUNE","MORNING","ASSAULT","SUMMER"
"36.840796"," -76.095958","OCTOBER","NIGHT","ASSAULT","FALL"
"36.796468"," -76.088117","MAY","AFTERNOON","ASSAULT","SPRING"
"36.86583"," -76.173349","AUGUST","EVENING","ASSAULT","SUMMER"
"36.784336"," -75.978089","MAY","AFTERNOON","ASSAULT","SPRING"
"36.778114"," -76.152044","MARCH","MORNING","ASSAULT","SPRING"
"36.768911"," -76.060652","SEPTEMBER","NIGHT","ASSAULT","FALL"
"36.860998"," -76.181073","SEPTEMBER","AFTERNOON","ASSAULT","FALL"
"36.79267"," -76.189438","DECEMBER","NIGHT","ASSAULT","WINTER"
"36.861482"," -75.978769","AUGUST","EVENING","ASSAULT","SUMMER"
"36.86859"," -76.161394","NOVEMBER","NIGHT","ASSAULT","FALL"
"36.800619"," -76.088344","JULY","NIGHT","ASSAULT","SUMMER"
"36.744843"," -76.007677","MAY","MORNING","ASSAULT","SPRING"
"36.800338"," -76.127173","JANUARY","MORNING","ASSAULT","WINTER"
"36.775302"," -75.9968","JULY","NIGHT","ASSAULT","SUMMER"
"36.774611"," -75.98492","FEBRUARY","AFTERNOON","ASSAULT","WINTER"
"36.843102"," -75.99606","SEPTEMBER","NIGHT","ASSAULT","FALL"
"36.803455"," -76.180785","DECEMBER","EVENING","ASSAULT","WINTER"
"36.842083"," -76.156218","OCTOBER","MORNING","ASSAULT","FALL"
"36.851514"," -76.035928","DECEMBER","MORNING","ASSAULT","WINTER"
"36.850959"," -76.054468","APRIL","NIGHT","ASSAULT","SPRING"
"36.762733"," -76.006657","MAY","AFTERNOON","ASSAULT","SPRING"
"36.812575"," -76.081368","FEBRUARY","NIGHT","ASSAULT","WINTER"
"36.831431"," -76.089814","FEBRUARY","NIGHT","ASSAULT","WINTER"
"36.861525"," -76.027125","APRIL","AFTERNOON","ASSAULT","SPRING"
"36.797942"," -76.10574","APRIL","MORNING","ASSAULT","SPRING"
"36.874556"," -76.039505","DECEMBER","NIGHT","ASSAULT","WINTER"
"36.857871"," -76.172832","DECEMBER","NIGHT","ASSAULT","WINTER"
"36.806105"," -76.069385","JANUARY","MORNING","ASSAULT","WINTER"
"36.831608"," -76.072557","OCTOBER","EVENING","ASSAULT","FALL"
"36.798452"," -76.008005","DECEMBER","AFTERNOON","ASSAULT","WINTER"
"36.865674"," -76.02905","NOVEMBER","AFTERNOON","ASSAULT","FALL"
"36.755445"," -76.007265","AUGUST","MORNING","ASSAULT","SUMMER"
"36.833902"," -76.095117","JANUARY","EVENING","ASSAULT","WINTER"
